row_number,vendor_name,department,cost_usd,description,suggestion,classification_confidence,brand_group,classification_notes
27,Kimble Applications Ltd,Professional Services,52825.2693992,Professional services automation (PSA) platform for project delivery and resource management,CONSOLIDATE,H,,
28,Sage Uk Limited,Finance,46894.9689248,Cloud accounting and financial management software,CONSOLIDATE,H,,
29,Grant Thornton,Finance,46538.5507672,"Business advisory and accounting firm providing audit, tax and financial advisory services",CONSOLIDATE,H,,Flagged as possible individual name — false positive; Grant Thornton is a major accounting firm
30,"Sveuä_x008d_Iliå¡Te U Zagrebu, Studentski Centar",Facilities,44299.0444792,University of Zagreb student center — likely conference/event venue or accommodation,OPTIMIZE,R,,"Encoding corrupted (expected: 'Sveučilište U Zagrebu, Studentski Centar'). Classified Facilities based on context (university venue). Verify decoded name before finalising."
31,Ss&C Intralinks Inc,M&A,39966.4048632,Virtual data room platform for M&A due diligence and secure deal document management,TERMINATE,H,,
32,Veniture D.O.O.,Professional Services,39342.1241888,Business consulting and venture advisory services (Croatia),CONSOLIDATE,M,,
33,Accutrainee Limited,Professional Services,38840.7968008,"Professional training, talent development and graduate recruitment services",CONSOLIDATE,H,,
34,Mason Frank International Ltd,Professional Services,38147.7208352,Salesforce and cloud technology specialist recruitment and staffing agency,CONSOLIDATE,H,,
35,"Houlihan Lokey Advisors, Llc",M&A,37461.2316528,Investment bank providing M&A financial advisory and business valuation services,TERMINATE,H,,
36,Vector Capital Management Lp,M&A,32426.7336936,Private equity investment management and M&A advisory,TERMINATE,H,,
37,Hubspot Ireland Limited,Marketing,32187.413904,"Inbound marketing platform, CRM and marketing automation suite",CONSOLIDATE,H,,HubSpot presence confirms Salesforce is not being used for Marketing Cloud (two overlapping tools would be redundant)
38,Nefron - Obrt Za Poslovne Usluge,Professional Services,30613.904584,Business services and operational support provider (Croatia),CONSOLIDATE,M,,
39,"Planful, Inc.",Finance,27741.335243999998,Financial planning and analysis (FP&A) and budgeting software platform,CONSOLIDATE,H,,
40,Cognism Limited,Sales,27013.129768,"B2B sales intelligence, lead prospecting and contact data platform",CONSOLIDATE,H,,
41,Uberflip,Marketing,26090.98012,Content experience platform for personalised sales and marketing content delivery,CONSOLIDATE,H,,
42,Agram Life Osiguranje D.O.O.,G&A,24952.1984912,Employee life and health insurance provider (Croatia),CONSOLIDATE,H,,
43,Google Ireland Limited,SaaS,24797.7750184,Google Workspace productivity and collaboration suite (company-wide),CONSOLIDATE,M,,Assumed Google Workspace (SaaS); flip to Engineering if Google Cloud Platform is primary product
44,Zuric I Partneri Odvjetnicko Drustvo D.O.O.,Legal,24135.4373744,Croatian commercial law firm providing legal advice and representation,OPTIMIZE,H,,
45,Care Health Insurance Company Limited,G&A,24044.6861392,Employee health insurance provider,CONSOLIDATE,H,,
46,New Star Networks(Nsn),Facilities,23886.603342399998,Network and telecommunications infrastructure services,CONSOLIDATE,M,,
47,Bupa- Supplier,G&A,22799.784114399998,Employee health insurance and benefits provider,CONSOLIDATE,H,Bupa Group,Flagged as possible individual name — false positive; Bupa is a global health insurance provider
48,Shree Info System Solutions Pvt Ltd,Engineering,22275.0370528,IT systems and software solutions provider (India),OPTIMIZE,M,,
49,Technet It Recruitment,Engineering,21952.284676,IT and technology specialist recruitment agency,OPTIMIZE,M,,Explicitly IT/tech recruitment → Engineering per edge case rule
50,Mightyhive Ltd,Marketing,19041.6583664,"Digital marketing, programmatic advertising and marketing analytics agency",CONSOLIDATE,H,,
51,Cedar Recruitment Ltd,G&A,18537.4035192,General recruitment and talent acquisition agency (company-wide),CONSOLIDATE,H,,
52,Eurofast International Ltd-Greec,Finance,18164.1524712,"International payroll processing, accounting and corporate administration services",CONSOLIDATE,H,,
53,Hrvatski Telekom D.D.,Facilities,18084.379208,National telecommunications provider — office connectivity and communications (Croatia),CONSOLIDATE,H,,
54,Sodexo Svc India Private Limited,Facilities,17809.929908,Facilities management and corporate catering services for office (India),OPTIMIZE,H,,
55,Peakon Aps,G&A,17108.0715648,Employee engagement analytics and sentiment measurement platform (Workday Peakon),CONSOLIDATE,H,,Flagged as possible individual name — false positive; Peakon Aps is an employee engagement SaaS company
56,Plus Your Business Ltd,Marketing,17073.6739192,Digital marketing and Google Business profile optimisation services,CONSOLIDATE,H,,
57,Benefit Systems D.O.O.,G&A,16900.2219616,Employee benefits platform and MultiSport wellness program provider (Croatia),CONSOLIDATE,H,,
58,Smart Group Services D.O.O.,Professional Services,16438.4152728,Business services and operational support provider (Croatia),CONSOLIDATE,M,,
59,Jones Lang Lasalle (Nsw) Pty Ltd,Facilities,16274.4775576,"Commercial property management and real estate advisory services (JLL, Australia)",OPTIMIZE,H,,
60,"Workato, Inc.",Engineering,16101.025599999999,Enterprise integration and workflow automation platform,OPTIMIZE,M,,Integration platform typically IT/Engineering-governed; reclassify to SaaS if business-user-led automations dominate
61,Konzum Plus D.O.O.,Facilities,15683.862664,Supermarket / food and beverage supplies for office catering (Croatia — Konzum retail chain),OPTIMIZE,M,,
62,Westbrook Advisers,Legal,15360.3784224,Commercial legal advisory services for board and senior management,OPTIMIZE,M,,Strategy B: Legal vs Professional Services ambiguity irrelevant at T3 ($15K). Legal is more precise fit.
63,Work Easy Space Solutions Private Limited,Facilities,14913.209029599999,Coworking and serviced office space provider (India),OPTIMIZE,H,,
64,"Taxstudio, Ltd.",Finance,14642.419053599999,Specialist tax advisory and compliance services,CONSOLIDATE,H,,
65,Pingo D.O.O.,Facilities,14508.487795199999,Catering or hospitality services for office (Croatia),OPTIMIZE,L,,
66,Magazin Raunalni Sistemi D.O.O.,Engineering,13870.301689599999,IT equipment and computing systems supplier (Croatia — 'Računalni Sistemi' = Computer Systems),OPTIMIZE,M,,Encoding may be partially corrupted ('Raunalni' → 'Računalni')
67,Tp Prime D.O.O.,G&A,13785.4053728,Business services provider (Croatia — primary service unconfirmed),CONSOLIDATE,L,,
68,Granttree Limited,Finance,13658.7927624,R&D tax credits advisory and government funding specialist (UK),CONSOLIDATE,H,,
69,Cigna Sg,G&A,13248.9484744,Employee health insurance provider (Singapore — Cigna group),CONSOLIDATE,H,,Flagged as possible individual name — false positive; Cigna is a global health insurance company
70,Collards Chartered Accountants,Finance,12878.6248856,"Chartered accountants providing audit, tax and accounting services",CONSOLIDATE,H,,
71,Bupa Australia,G&A,12462.9256792,Employee health insurance provider (Australia),CONSOLIDATE,H,Bupa Group,
72,4I Management Consulting Private Limited,Professional Services,12117.4854936,Management consulting services (India entity of the 4I Group),CONSOLIDATE,L,4I Group,Strategy A: 'Management Consulting' in entity name signals operational BAU work rather than deal advisory. Immaterial at $12K.
73,"Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..",G&A,11636.650319999999,Vendor not in classification lookup — assigned G&A as fallback,CONSOLIDATE,L,,"UNMATCHED: vendor 'Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..' not found in lookup table; G&A assigned as fallback"
74,Bijeli Pijesak Obrt Za Poslovno Savjetovanje,Professional Services,11605.180133599999,Business consulting and advisory services (Croatia — 'Bijeli Pijesak' = White Sand),CONSOLIDATE,L,,
75,Ramiro D.O.O.,G&A,11515.892628,General business services provider (Croatia — primary service unconfirmed from name),CONSOLIDATE,L,,
76,Visalogic Limited,Legal,11240.7114632,Global immigration and visa management services,OPTIMIZE,H,,
77,Poles Ltd - Hanbury Manor,G&A,10488.354448799999,"Hotel and event venue services — likely team offsite or client entertainment (Hanbury Manor, UK)",CONSOLIDATE,M,,
78,Shoff Darby Companies,G&A,10100.4661048,Business services provider (primary service unconfirmed from name),CONSOLIDATE,L,,
79,Emerge Development Consultancy Ltd,Professional Services,10046.3081096,Business development and growth consulting services,CONSOLIDATE,M,,
80,Performancepro,G&A,10017.765382399999,Employee performance management and appraisal software platform,CONSOLIDATE,M,,Flagged as possible individual name — false positive; PerformancePro is an HR tech SaaS product
81,Microsoft Ireland Operations Limited,SaaS,9821.625616,Microsoft 365 productivity and collaboration suite (company-wide),CONSOLIDATE,M,,Assumed Microsoft 365 (SaaS); flip to Engineering if Azure cloud services are the primary product
82,Catering Muring,Facilities,9602.7980408,Office catering and food services (Croatia),OPTIMIZE,H,,
83,Omonia D.O.O.,Facilities,9558.8861528,Office catering or hospitality services (Croatia),OPTIMIZE,L,,
84,Outreach Corporation,Sales,9206.127319199999,"Sales engagement, sequencing and outbound prospecting platform",CONSOLIDATE,H,,
85,Cbre Limited,Facilities,8395.221120799999,Commercial real estate brokerage and property management advisory (CBRE),OPTIMIZE,H,,
86,Studentski Centar - Split,Facilities,8269.3403752,"University student center — conference or events venue (Split, Croatia)",OPTIMIZE,M,,
87,The Guardian,G&A,8070.2731496,News media subscription for executive and company-wide news access,CONSOLIDATE,M,,
88,Intertrust Singapore Corporate Services Pte Ltd - Csc,Finance,7359.6324288,"Corporate administration, trust, fund administration and compliance services (Singapore)",CONSOLIDATE,M,,
89,Goto Technologies Uk Limited,SaaS,7316.4524056,"Remote access, conferencing and IT support platform (GoTo Meeting / GoTo)",CONSOLIDATE,H,,
90,Hrsolution International Ag,G&A,6987.1132456,HR staffing and workforce management services (Switzerland entity),CONSOLIDATE,H,HRsolution International,
91,Trello,SaaS,6673.8751112,Visual project management and team collaboration tool (cross-functional),CONSOLIDATE,H,,Flagged as possible individual name — false positive; Trello is an Atlassian project management product
92,Obrt Sjaj Sunca,Facilities,6596.297442399999,Cleaning or office maintenance services (Croatia — 'Sjaj Sunca' = Sunshine Gleam),OPTIMIZE,L,,
93,Telefã³Nica Compras Electrã³Nicas S.L.,Facilities,6157.1785623999995,Telefonica electronic procurement entity — office telecommunications or connectivity (Spain),CONSOLIDATE,R,,Encoding corrupted (expected: 'Telefónica Compras Electrónicas S.L.'). Classified Facilities as Telefonica entity. Verify decoded name.
94,Allianz Australia Workers' Compensation (Victoria) Limited,G&A,6098.6293784,"Workers compensation insurance — Victoria, Australia (Allianz group)",OPTIMIZE,H,Allianz,
95,Icici Lombard Gic Ltd,G&A,5972.0167679999995,General insurance and workers compensation provider (India — ICICI Lombard),OPTIMIZE,H,,
96,Mosaic Concept D.O.O.,Professional Services,5730.501384,Design or creative professional services (Croatia),CONSOLIDATE,L,,
97,Limes Plus D.O.O.,Facilities,5623.6491232,Office facilities or maintenance services (Croatia),OPTIMIZE,L,,
98,Mercer Limited,G&A,5443.6103824,Employee benefits consulting and HR advisory services,CONSOLIDATE,H,,
99,Acclime Corporate Services,Finance,5412.872060799999,"International corporate administration, accounting and compliance services",CONSOLIDATE,H,Acclime,
100,Green Commute Initiative,G&A,5401.8940888,Employee cycle-to-work scheme and sustainable commuting benefits programme,CONSOLIDATE,H,,
101,Tattu Manchester Limited,G&A,5366.0327136,Premium restaurant — team events and client entertainment (Manchester),CONSOLIDATE,M,,
102,Athlete Service Ltd,G&A,5284.7957208,Employee sport and wellness benefits programme,CONSOLIDATE,M,,
103,Amazon Web Services Inc.,Engineering,5153.0600568,Cloud infrastructure and compute services (AWS — US entity),OPTIMIZE,H,Amazon Web Services / Amazon,Near-duplicate of 'Amazon Web Services Llc'; consolidate to canonical brand for spend reporting
104,Telemach Hrvatska D.O.O.,Facilities,5134.031572,National cable and telecommunications provider — office internet and communications (Croatia),CONSOLIDATE,H,,
105,"Acclime Usa, Inc",Finance,4994.97726,International corporate administration and accounting services (US entity),CONSOLIDATE,H,Acclime,
106,Centar Za Sigurnost D.O.O.,Facilities,4991.3179359999995,Physical security services and access control (Croatia — 'Sigurnost' = Security),OPTIMIZE,M,,
107,Profi Bar D.O.O.,Facilities,4916.6677264,Office coffee bar and refreshment services (Croatia),OPTIMIZE,L,,
108,Pricewaterhousecoopers Llp,Finance,4878.6107568,"Big 4 accounting firm providing audit, tax and business advisory",CONSOLIDATE,M,,Could be M&A if engagement was transaction-specific due diligence; classified Finance as default
109,Pinnacle Partnership Ca,Professional Services,4836.1625984,Business advisory or consulting services (Canada),CONSOLIDATE,L,,
110,The Virtual Legal Counsel Ltd,Legal,4800.3012232,Outsourced in-house legal counsel and commercial legal services,OPTIMIZE,H,,
111,Australian Payroll Professionals Pty Ltd,Finance,4399.2393128,Payroll processing and management services (Australia),CONSOLIDATE,H,,
112,Inter Continental Chennai Mahabalipuram Resort,G&A,4392.6525296,Hotel and resort accommodation — likely business travel or team offsite (India),CONSOLIDATE,L,,
113,Jetbrains S.R.O.,Engineering,4083.0737191999997,Developer IDEs and programming productivity tools (JetBrains),OPTIMIZE,H,,Flagged as possible individual name — false positive; JetBrains is a major developer tools company
114,Crowe Horwath Revizija D.O.O.,Finance,4061.84964,"Audit and accounting services (Crowe global network, Croatia)",CONSOLIDATE,H,,
115,Puducherry Backwater Resort Private Limited,G&A,4055.9947216,Hotel and resort accommodation — likely business travel or team offsite (India),CONSOLIDATE,L,,
116,Orionw Llc,Professional Services,4025.2563999999998,IT or software services provider (US — primary service unconfirmed),CONSOLIDATE,L,,
117,Adobe Systems Software,SaaS,3928.6502464,"Creative, document management and digital experience software suite (Adobe)",CONSOLIDATE,H,,
118,"Common Desk, Llc",Facilities,3842.2902,Coworking and shared office space provider (US — Common Desk),OPTIMIZE,H,,
119,Hep Elektra D.O.O.,Facilities,3734.7060744,"Office electricity utility provider (Croatia — HEP, Croatian Energy Group)",OPTIMIZE,H,,
120,Zivi Napitak D.O.O.,Facilities,3699.576564,Office beverage and refreshment supplier (Croatia),OPTIMIZE,L,,
121,Gym4You D.O.O.,G&A,3692.257916,Employee gym and fitness membership benefits (Croatia),CONSOLIDATE,M,,
122,Aha! Labs Inc,Product,3689.3304568,Product roadmapping and strategy platform for Product Management teams,OPTIMIZE,H,,
123,Apple Retail Uk Ltd,G&A,3548.0805504,Apple hardware and software purchases — company equipment (UK retail entity),CONSOLIDATE,M,Apple,"Apple spend split across 4 entities (Retail UK, Pty, Distribution, Amer); classify each row individually"
124,"Kryterion, Inc.",G&A,3541.4937672,Online proctoring and professional certification testing platform,CONSOLIDATE,L,,
125,Npm Inc,Engineering,3534.9069839999997,JavaScript package manager and npm registry — core software development dependency,OPTIMIZE,H,,
126,Pinsent Masons Mpillay Llp,Legal,4077.8263165000003,"International law firm providing commercial, technology and employment legal services",OPTIMIZE,H,,
127,Calm Achiever(A Unit Of Mohsin Ali Vakil),G&A,4071.0143285000004,Employee wellness and mental health coaching services (India),CONSOLIDATE,L,,
128,Pluxee India Private Limited,G&A,3994.3794635000004,"Employee benefits and meal voucher platform (formerly Sodexo Benefits & Rewards, India)",CONSOLIDATE,H,,
129,Oâ€™Donnell Salzano Lawyers,Legal,3955.2105325,Australian law firm providing commercial and employment legal services,OPTIMIZE,R,,Encoding corrupted (expected: 'O'Donnell Salzano Lawyers'). Classified Legal based on 'Lawyers' in decoded name. Verify decoded name.
130,Papertrail Inc,Engineering,3899.86313,Cloud-hosted log management and application monitoring service,OPTIMIZE,H,,
131,Sniper Systems And Solutions Private Limited,Engineering,3899.0116315,IT systems and technology solutions provider (India),OPTIMIZE,M,,
132,Trocadero (London) Hotel Ltd,G&A,3867.5061870000004,Hotel accommodation — likely business travel or team meeting venue (London),CONSOLIDATE,M,,
133,Semrush Inc,Marketing,3729.56343,"SEO, content marketing and competitive digital intelligence platform",CONSOLIDATE,H,,
134,Golubica Parking D.O.O.,Facilities,3726.1574360000004,Parking facilities — employee parking services (Croatia),OPTIMIZE,H,,
135,Vodafone (Australian),Facilities,3671.661532,Mobile telecommunications — company phones and connectivity (Australia — Vodafone),CONSOLIDATE,H,,
136,Ikea Hrvatska D.O.O.,Facilities,3609.5021415,Office furniture and workplace equipment (IKEA Croatia),OPTIMIZE,M,,
137,Orcola D.O.O.,Professional Services,3544.7882555,Business or IT consulting services (Croatia — primary service unconfirmed),CONSOLIDATE,L,,
138,Info Edge India Limited,G&A,3536.2732705000003,"Online recruitment portal and job board services (Naukri.com, India)",CONSOLIDATE,M,,
139,Grad Split,G&A,3482.628865,"City of Split municipal fees, permits or regulatory payments (Croatia)",OPTIMIZE,H,,
140,T-Mobile,Facilities,3357.4585855,Mobile telecommunications — company phones and connectivity,CONSOLIDATE,H,,
141,Akton D.O.O.,Professional Services,3253.5757685000003,Business services or IT support (Croatia — primary service unconfirmed),CONSOLIDATE,L,,
142,Bureau Veritas Croatia D.O.O.,Professional Services,3199.931363,"Testing, inspection and certification (TIC) compliance services",CONSOLIDATE,M,,
143,Cici Prudential Life Insurance Co. Ltd.,G&A,3194.822372,Employee life insurance provider (Asia — ICICI Prudential group),CONSOLIDATE,H,,
144,Ncc Services Limited,Professional Services,3036.443651,Business services and facilities management (primary service unconfirmed),CONSOLIDATE,L,,
145,Smartsheet Inc.,SaaS,2994.7202245000003,Cloud-based project management and work collaboration platform (cross-functional),CONSOLIDATE,H,,
146,Good Game Global D.O.O.,G&A,2953.8482965000003,Corporate entertainment or team event services (Croatia),CONSOLIDATE,L,,
147,Garaå¾A Firule D.O.O.,Facilities,2930.0063385000003,"Parking garage facility — employee parking (Split, Croatia — 'Garaža Firule')",OPTIMIZE,R,,Encoding corrupted (expected: 'Garaža Firule D.O.O.'). Classified Facilities based on 'Garaža' = garage/parking.
148,Crossland,Professional Services,2924.045849,Business services or consulting (primary service unconfirmed),CONSOLIDATE,L,,
149,It London,Engineering,2838.0445005,IT services or technology support provider (London),OPTIMIZE,L,,Flagged as possible individual name — false positive; 'IT London' is a technology services entity
150,Terrapinn Holdings Ltd,Marketing,2838.0445005,"Global business events, conference and media services — industry event sponsorship",CONSOLIDATE,M,,
151,Elemental Life Solutions Llp,G&A,2806.539056,Employee wellness and lifestyle benefits services,CONSOLIDATE,L,,
152,United Flow Ltd (The Goodness Project),G&A,2744.3796655,Employee wellness and mental health programme services,CONSOLIDATE,M,,
153,Mcburneys Charted Accountants,Finance,2711.171224,"Chartered accountants providing audit, tax and accounting services",CONSOLIDATE,M,,
154,Cleverland Winery Resort,G&A,2662.6358095,Winery and resort accommodation — likely team offsite or business travel (Australia),CONSOLIDATE,M,,
155,Ag Grid Ltd,Engineering,2653.269326,JavaScript data grid library for enterprise web application development,OPTIMIZE,H,,
156,Lusha,Sales,2605.58541,B2B contact intelligence and lead data enrichment platform,CONSOLIDATE,H,,
157,My Foodiverse Llp,Facilities,2488.9301155000003,Corporate food delivery and office catering services,OPTIMIZE,M,,
158,4Imprint Direct Ltd,Marketing,2436.1372085000003,Promotional merchandise and branded marketing materials supplier,CONSOLIDATE,M,,
159,City Pantry Ltd,Facilities,2419.1072385,Corporate office catering and team food delivery service,OPTIMIZE,M,,
160,Stipe Piric,Professional Services,2301.6004455,Individual contractor/freelancer payment (Croatia),TERMINATE,L,,Strategy A: individual name pattern; likely freelancer invoice. Reclassify to G&A if expense reimbursement confirmed.
161,Office Move London,Facilities,2293.0854605,"Office relocation, furniture installation and moving services (London)",OPTIMIZE,M,,
162,Pink Ribbon Shop,G&A,2250.5105355,Charitable merchandise — likely company CSR or employee awareness initiative,CONSOLIDATE,M,,
163,Starhub Ltd (Supplier),Facilities,2205.381115,Mobile and broadband telecommunications provider — office connectivity (Singapore — StarHub),CONSOLIDATE,H,,
164,N S Shastri And Co,Finance,2194.3116345000003,Chartered accountants and tax advisory services (India),CONSOLIDATE,M,,
165,John Smith,Professional Services,2162.8061900000002,Individual contractor/freelancer payment,TERMINATE,L,,Strategy A: individual name pattern; likely freelancer invoice. Reclassify to G&A if expense reimbursement confirmed.
166,Fabiola Thistlewhaite,Professional Services,2154.291205,Individual contractor/freelancer payment,TERMINATE,L,,Strategy A: individual name pattern; likely freelancer invoice. Reclassify to G&A if expense reimbursement confirmed.
167,Hp Inc Uk Limited,G&A,2136.4097365000002,Hardware equipment and printing solutions — company devices and peripherals (HP UK),CONSOLIDATE,M,,
168,Cision Pr Newswire,Marketing,2110.0132830000002,Press release distribution and PR media newswire services,CONSOLIDATE,H,,
169,George Anchor,Professional Services,2107.4587875,Individual contractor/freelancer payment,TERMINATE,L,,Strategy A: individual name pattern; likely freelancer invoice. Reclassify to G&A if expense reimbursement confirmed.
170,"Yoxel, Inc",Engineering,2043.5964000000001,IT or software technology services (US — primary service unconfirmed),OPTIMIZE,L,,
171,Grt Hotels And Resorts P Ltd,G&A,2031.6754210000001,"Hotel accommodation — business travel or team offsite (GRT Hotels, South India)",CONSOLIDATE,L,,
172,Apple Pty Ltd,G&A,2030.8239225000002,Apple hardware and software purchases — company equipment (Australia retail entity),CONSOLIDATE,M,Apple,
173,Slack Technologies Limited,SaaS,1989.100496,"Enterprise messaging, file sharing and team communication platform",CONSOLIDATE,H,,
174,G S Notary Public Limited,Legal,1935.4560905,Notary public and document authentication and legalisation services,OPTIMIZE,H,,
175,Apple Distribution International Ltd,G&A,1913.3171295000002,Apple software licensing and App Store distribution (Ireland entity),CONSOLIDATE,M,Apple,
176,Porezno Savjetniå¡Tvo Tuk D.O.O.,Finance,1812.8403065,Tax advisory and financial compliance consulting (Croatia — 'Porezno Savjetništvo' = Tax Advisory),CONSOLIDATE,R,,Encoding corrupted (expected: 'Porezno Savjetništvo Tuk D.O.O.'). Classified Finance based on 'Porezno Savjetništvo' = Tax Advisory.
177,Susan Lee,Professional Services,1761.7503965,Individual contractor/freelancer payment,TERMINATE,L,,Strategy A: individual name pattern; likely freelancer invoice. Reclassify to G&A if expense reimbursement confirmed.
178,Ansar Madovic,Professional Services,1731.947949,Individual contractor/freelancer payment (Croatia),TERMINATE,L,,Strategy A: individual name pattern; likely freelancer invoice. Reclassify to G&A if expense reimbursement confirmed.
179,"Radius Group, Inc",Professional Services,1722.5814655000001,Business advisory or technology services (US — primary service unconfirmed),CONSOLIDATE,L,,
180,Aquila Remete D.O.O.,Facilities,1706.402994,Hospitality or accommodation services (Croatia — Aquila hotel/venue),OPTIMIZE,L,,
181,Clime India Private Limited,G&A,1678.3035435000002,Corporate wellness or HR technology services (India),CONSOLIDATE,L,,
182,"Golden Mean, Inc",Professional Services,1658.719078,Business advisory or consulting services (US — primary service unconfirmed),CONSOLIDATE,L,,
183,Paint & Fun Vl. Martina Milkova Nikolova,G&A,1654.4615855000002,Employee team-building and creative activity event (paint and art experiences),CONSOLIDATE,M,,
184,Carrington Communications,Marketing,1654.4615855000002,"PR, media relations and corporate communications services",CONSOLIDATE,M,,Flagged as possible individual name — false positive; Carrington Communications is a PR/comms agency
185,Crayond Digital Private Limited,Engineering,1645.9466005000002,Digital product design and software development agency (India),OPTIMIZE,M,,
186,Studentski Centar Karlovac,Facilities,1548.8757715000002,"Student center venue — conference or events space (Karlovac, Croatia)",OPTIMIZE,M,,
187,Lajnap Comedy Booking D.O.O.,G&A,1536.103294,Comedy and entertainment booking agency — likely for company event (Croatia),CONSOLIDATE,M,,
188,British Telecommunications,Facilities,1492.6768705000002,"Office telecommunications and connectivity services (BT, UK)",CONSOLIDATE,H,,Flagged as possible individual name — false positive; British Telecommunications is the BT Group
189,Etm Concessions Ltd,G&A,1418.596501,"Hospitality and food/beverage venue services — likely team event (ETM Group, UK)",CONSOLIDATE,M,,
190,Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,G&A,1405.8240235,"Hotel accommodation — business travel (Radisson GRT, India)",CONSOLIDATE,L,,
191,Ariba Inc,SaaS,1363.2490985000002,SAP Ariba procurement and spend management platform (company-wide),CONSOLIDATE,M,,
192,Chamiers Recreation Club,G&A,1337.7041435,Recreation club membership — employee wellness benefit (India),CONSOLIDATE,L,,
193,Quadrant Law Llc,Legal,1326.634663,Legal services and commercial law advisory,OPTIMIZE,H,,
194,Docusign,SaaS,1307.9016960000001,Electronic signature and digital contract management platform (company-wide),CONSOLIDATE,H,,
195,Inside Edge Novated Leasing,G&A,1287.4657320000001,Employee novated car leasing and salary packaging service (Australia),CONSOLIDATE,M,,
196,Rhea D.O.O.,Facilities,1253.405792,Office facilities or maintenance services (Croatia — primary service unconfirmed),OPTIMIZE,L,,
